country,target_domain,as_number,#fqdn_in_response,is_error,is_empty
fr,bfmtv.com,47206,41,False,False
fr,tiktok.com,39305,16,False,False
fr,credit-agricole.fr,50620,6,False,False
fr,index-education.net,20926,4,False,False
fr,tiktok.com,57752,15,False,False
fr,labanquepostale.fr,198507,5,False,False
fr,booking.com,8218,4,False,False
fr,index-education.net,12727,4,False,False
fr,programme-tv.net,51083,8,False,False
fr,credit-agricole.fr,34970,6,False,False
fr,twitter.com,34659,3,False,False
fr,lefigaro.fr,24904,11,False,False
fr,actu.fr,208574,6,False,False
fr,amazon.fr,8399,8,False,False
fr,bfmtv.com,44494,18,False,False
fr,leparisien.fr,39405,40,False,False
fr,ouest-france.fr,205669,5,False,False
fr,tiktok.com,57951,6,False,False
fr,msn.com,1307,2,False,False
fr,leboncoin.fr,34863,5,False,False
fr,voici.fr,12626,8,False,False
fr,labanquepostale.fr,206120,4,False,False
fr,leboncoin.fr,62000,5,False,False
fr,instagram.com,57199,2,False,False
fr,credit-agricole.fr,34659,5,False,False
fr,live.com,16509,0,True,False
fr,instagram.com,35540,2,False,False
fr,bing.com,62000,1,False,False
fr,lefigaro.fr,206120,6,False,False
fr,instagram.com,197922,2,False,False
fr,sfr.fr,197922,5,False,False
fr,lemonde.fr,51083,4,False,False
fr,yahoo.com,51083,4,False,False
fr,journaldesfemmes.fr,50620,6,False,False
fr,msn.com,198551,6,False,False
fr,cdiscount.com,24904,3,False,False
fr,gala.fr,60032,7,False,False
fr,live.com,57809,0,True,False
fr,orange.fr,25540,38,False,False
fr,orange.fr,3215,28,False,False
fr,ladepeche.fr,24904,82,False,False
fr,bing.com,52075,1,False,False
fr,meteofrance.com,35625,36,False,False
fr,orange.fr,47866,40,False,False
fr,20minutes.fr,24776,14,False,False
fr,leboncoin.fr,57199,5,False,False
fr,ladepeche.fr,16509,88,False,False
fr,facebook.com,42487,3,False,False
fr,twitter.com,57199,3,False,False
fr,cdiscount.com,50628,2,False,False
fr,live.com,39305,0,True,False
fr,journaldesfemmes.fr,2200,6,False,False
fr,journaldesfemmes.fr,197922,24,False,False
fr,instagram.com,203352,2,False,False
fr,sfr.fr,31216,0,False,True
fr,bing.com,12322,1,False,False
fr,wikipedia.org,47866,1,False,False
fr,bing.com,30781,1,False,False
fr,live.com,12727,0,True,False
fr,francetvinfo.fr,198330,25,False,False
fr,francetvinfo.fr,51083,26,False,False
fr,actu.fr,202422,6,False,False
fr,lefigaro.fr,8487,22,False,False
fr,free.fr,34863,4,False,False
fr,facebook.com,203352,3,False,False
fr,actu.fr,57902,6,False,False
fr,booking.com,39886,5,False,False
fr,yahoo.com,206120,4,False,False
fr,yahoo.com,8218,4,False,False
fr,20minutes.fr,44494,14,False,False
fr,bfmtv.com,24904,17,False,False
fr,leboncoin.fr,205669,5,False,False
fr,programme-tv.net,16276,8,False,False
fr,pinterest.fr,39305,10,False,False
fr,cdiscount.com,57809,3,False,False
fr,sfr.fr,42487,0,False,True
fr,bing.com,50628,1,False,False
fr,msn.com,35393,2,False,False
fr,twitter.com,47206,6,False,False
fr,voici.fr,43619,8,False,False
fr,20minutes.fr,2259,15,False,False
fr,yahoo.com,57902,4,False,False
fr,lemonde.fr,198330,3,False,False
fr,ladepeche.fr,50620,41,False,False
fr,sfr.fr,34970,0,False,True
fr,pinterest.fr,20926,9,False,False
fr,sfr.fr,8399,0,False,True
fr,actu.fr,51207,6,False,False
fr,impots.gouv.fr,2200,2,False,False
fr,cdiscount.com,57951,2,False,False
fr,booking.com,30781,5,False,False
fr,programme-tv.net,39405,8,False,False
fr,programme-tv.net,57902,8,False,False
fr,ouest-france.fr,198507,8,False,False
fr,labanquepostale.fr,57752,4,False,False
fr,tiktok.com,1942,16,False,False
fr,amazon.fr,12727,7,False,False
fr,lemonde.fr,206120,4,False,False
fr,linkedin.com,20473,2,False,False
fr,francetvinfo.fr,202422,24,False,False
fr,lemonde.fr,2259,3,False,False
fr,free.fr,16509,4,False,False
fr,pinterest.fr,35625,10,False,False
fr,programme-tv.net,3215,9,False,False
fr,francetvinfo.fr,13193,24,False,False
fr,leparisien.fr,2200,39,False,False
fr,cdiscount.com,174,2,False,False
fr,linkedin.com,47206,2,False,False
fr,yahoo.com,36492,4,False,False
fr,gala.fr,39180,8,False,False
fr,orange.fr,57809,42,False,False
fr,francetvinfo.fr,60032,24,False,False
fr,live.com,20926,0,True,False
fr,actu.fr,57809,6,False,False
fr,linkedin.com,20917,2,False,False
fr,pinterest.fr,48072,10,False,False
fr,amazon.fr,57119,5,False,False
fr,actu.fr,12626,6,False,False
fr,twitter.com,20473,6,False,False
fr,francetvinfo.fr,8487,31,False,False
fr,orange.fr,202422,37,False,False
fr,doctolib.fr,205669,7,False,False
fr,linkedin.com,208574,2,False,False
fr,amazon.fr,39405,5,False,False
fr,orange.fr,30781,39,False,False
fr,msn.com,25117,7,False,False
fr,voici.fr,34863,9,False,False
fr,francetvinfo.fr,41652,24,False,False
fr,yahoo.com,60032,4,False,False
fr,lefigaro.fr,35625,13,False,False
fr,lemonde.fr,44494,3,False,False
fr,free.fr,42845,4,False,False
fr,programme-tv.net,198682,10,False,False
fr,programme-tv.net,42845,8,False,False
fr,facebook.com,8362,0,False,True
fr,sfr.fr,198507,0,False,True
fr,wikipedia.org,50628,1,False,False
fr,facebook.com,35540,3,False,False
fr,live.com,198551,0,True,False
fr,live.com,203352,0,True,False
